Date,Value
1988,5.83
1989,5.75
1990,5.67
1991,5.6
1992,5.54
1993,5.48
1994,5.43
1995,5.39
1996,5.35
1997,5.31
1998,5.28
1999,5.24
2000,5.19
2001,5.15
2002,5.11
2003,5.07
2004,5.03
2005,5.0
2006,4.97
2007,4.9
2008,5.07
2009,5.48
2010,5.73
2011,5.8
2012,5.6
2013,5.09
2014,4.76
2015,4.64
2016,4.62
2017,4.62
2018,4.61
